Cell line	Disease	Disease subtype	Cellosaurus ID	Patient	Primary/Metastasis	Sample collection site
SW579	Thyroid cancer	Squamous Cell Carcinoma	CVCL_3603	Male, 59	primary	thyroid
SW620	Colorectal cancer	Adenocarcinoma	CVCL_0547	Male, 51	metastasis	lymph node
SW780	Bladder cancer	Transitional Cell Carcinoma	CVCL_1728	Female, 80	primary	urinary tract
SW837	Colorectal cancer	Adenocarcinoma	CVCL_1729	Male, 53	primary	large intestine
SW900	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	CVCL_1731	Male, 53	primary	lung
SW948	Colorectal cancer	Adenocarcinoma	CVCL_0632	Female, 81	primary	colon
SW982	Sarcoma	Synovial	CVCL_1734	25		soft_tissue
T-47d	Breast cancer		CVCL_0553	Female, 54	metastasis	pleural effusion
T.T	Esophageal cancer	Squamous Cell Carcinoma	CVCL_3174	Male, 67	metastasis	bone
T1-73	Non-cancerous	Bone	CVCL_3605	Female		fibroblast
T24	Bladder cancer	Carcinoma	CVCL_0554	Female, 82	primary	urinary tract
T3M-10	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	CVCL_8067	Male, 40	metastasis	lung
T3M-4	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_4056	Male, 64	primary	lymph node
T84	Colorectal cancer	Adenocarcinoma	CVCL_0555	Male, 72	metastasis	lung
T98G	Brain cancer	Glioblastoma	CVCL_0556	Male, 61	primary	central nervous system
TALL-1 [Human adult T-ALL]	Leukemia	Acute Lymphoblastic Leukemia (ALL), T-cell	CVCL_1736	Male, 28	primary	bone marrow
TC-71	Bone cancer	Ewings Sarcoma	CVCL_2213	Male, 22	primary	bone
TCC-Pan2	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_3178	Female, 47	metastasis	ascites
TCCSUP	Bladder cancer	Transitional Cell Carcinoma	CVCL_1738	Female, 67	primary	urinary tract
TE 125.T	Non-cancerous	Soft tissue	CVCL_1740	Female, 1		fibroblast
TE 159.T	Non-cancerous	Soft tissue	CVCL_1743	Male, 6		fibroblast
TE 441.T	Sarcoma	Rhabdomyosarcoma	CVCL_1754	Female, 14		soft tissue
TE 617.T	Sarcoma	Rhabdomyosarcoma	CVCL_1755	Female, 1	primary	soft tissue
TE-1	Esophageal cancer	Squamous Cell Carcinoma	CVCL_1759	Male, 58	primary	oesophagus
TE-10	Esophageal cancer	Squamous Cell Carcinoma	CVCL_1760	Male, 58	primary	oesophagus
TE-11	Esophageal cancer	Squamous Cell Carcinoma	CVCL_1761	Male, 58	primary	oesophagus
TE-14	Esophageal cancer	Squamous Cell Carcinoma	CVCL_3336	Male, 57		oesophagus
TE-15	Esophageal cancer	Squamous Cell Carcinoma	CVCL_1763	Female, 58	primary	oesophagus
TE-4	Esophageal cancer	Squamous Cell Carcinoma	CVCL_3337	Male, 48		lymph node
TE-5	Esophageal cancer	Squamous Cell Carcinoma	CVCL_1764	Female, 73		oesophagus
TE-6	Esophageal cancer	Squamous Cell Carcinoma	CVCL_1765	Male, 71		oesophagus
TE-8	Esophageal cancer	Squamous Cell Carcinoma	CVCL_1766	Male, 63		oesophagus
TE-9	Esophageal cancer	Squamous Cell Carcinoma	CVCL_1767	Male, 48	metastasis	pleural effusion
TEN	Uterine cancer	Clear Cell Carcinoma	CVCL_E063	Female, 74	primary	endometrium
TF-1	Leukemia	Acute Myelogenous Leukemia (AML)	CVCL_0559	Male, 35		bone marrow
TGBC11TKB	Gastric cancer	Adenocarcinoma	CVCL_1768	Female, 72	metastasis	lymph node
THP-1	Leukemia		CVCL_0006	Male, 1	primary	haematopoietic and lymphoid tissue
TIG-3 TD	Non-cancerous	Lung	CVCL_V617	Male		fibroblast
TIME	Non-cancerous		CVCL_0047	Male		
TK [Human B-cell lymphoma]	Lymphoma	B-cell, Non-Hodgkins	CVCL_3216	80		haematopoietic_and_lymphoid_tissue
TK-10	Kidney cancer		CVCL_1773	43		kidney
TM-31	Brain cancer	Glioma	CVCL_6735	Female, 42		central nervous system
Tm87-16	Rhabdoid	Malignant Rhabdoid Tumor	CVCL_8001	Male, 1	metastasis	pleural effusion
TMD8	Lymphoma		CVCL_A442			bone_marrow
TO 175.T	Non-cancerous	Lymphoma	CVCL_3806	Male, 29	metastasis	lymph node
Toledo	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	CVCL_3611	Female	primary	haematopoietic and lymphoid tissue
TOV-112D	Ovarian cancer	Adenocarcinoma, endometrioid	CVCL_3612	Female, 42	primary	ovary
TOV-21G	Ovarian cancer	Adenocarcinoma, clear cell	CVCL_3613	Female, 62	primary	ovary
TT	Thyroid cancer	Squamous Cell Carcinoma	CVCL_1774	Female, 77	primary	thyroid
TT2609-C02	Thyroid cancer	Carcinoma, follicular	CVCL_2218	Male, 57		thyroid
TTC-1240	Rhabdoid	Malignant Rhabdoid Tumor	CVCL_8002	Female, 0	metastasis	central nervous system
TTC-549	Rhabdoid	Malignant Rhabdoid Tumor	CVCL_8005	Female, 6		soft tissue
TTC-642	Rhabdoid	Malignant Rhabdoid Tumor	CVCL_8006	Female, 1		soft tissue
TTC-709	Rhabdoid	Malignant Rhabdoid Tumor	CVCL_8007	Male, 0		soft tissue
TUHR10TKB	Kidney cancer	Renal Cell Carcinoma	CVCL_5952	Male, 69	primary	kidney
TUHR14TKB	Kidney cancer	Renal Cell Carcinoma	CVCL_5953	Male	primary	kidney
TUHR4TKB	Kidney cancer	Renal Cell Carcinoma	CVCL_5957	Male, 60	primary	kidney
TYK-nu	Ovarian cancer	Adenocarcinoma, high grade serous	CVCL_1776	Female, 38	primary	ovary
U-118MG	Brain cancer	Glioma	CVCL_0633	Male, 47	primary	central nervous system
U-138MG	Brain cancer		CVCL_0020	Male, 47		central nervous system
U-178MG	Brain cancer	Glioblastoma	CVCL_A758	Male, 56		central nervous system
U-2197	Sarcoma		CVCL_0043	Male, 79		
U-251MG	Brain cancer		CVCL_0021	Male	primary	central nervous system
U-266/70	Myeloma		CVCL_0015	Male, 53		
U-266/84	Myeloma		CVCL_0016	Male, 53		
U-2932	Lymphoma		CVCL_1896		Metastasis	ascites
U-343MGa	Brain cancer	Glioblastoma	CVCL_4773	Male, 64		central nervous system
U-698-M	Lymphoma		CVCL_0017	Male, 7	metastasis	upper aerodigestive tract
U-87MG ATCC	Brain cancer		CVCL_0022	Male, 44	primary	central nervous system
U-937	Leukemia		CVCL_0007	Male, 37	metastasis	pleural effusion
U-BLC1	Bladder cancer	Transitional Cell Carcinoma	CVCL_2738	Female, 84	primary	urinary tract
U266B1	Myeloma	Multiple Myeloma, plasmacytoma	CVCL_0566	Male, 53		haematopoietic and lymphoid tissue
U2OS	Bone cancer		CVCL_0042	Female, 15	primary	bone
UACC-257	Skin cancer	Melanoma	CVCL_1779		primary	skin
UACC-62	Skin cancer	Melanoma	CVCL_1780	Female		skin
UACC-812	Breast cancer	Breast Ductal Carcinoma	CVCL_1781	Female, 43	primary	breast
UACC-893	Breast cancer	Breast Ductal Carcinoma	CVCL_1782	Female, 57	primary	breast
UCSD-242L	Skin cancer		CVCL_M009			
UKE-1	Leukemia		CVCL_0104		Primary	haematopoietic_and_lymphoid_tissue
UM-UC-1	Bladder cancer	Transitional Cell Carcinoma	CVCL_2743	Male, 26	metastasis	lymph node
UM-UC-3	Bladder cancer	Transitional Cell Carcinoma	CVCL_1783	Male	primary	urinary tract
UMC-11	Lung cancer	Carcinoid	CVCL_1784		Primary	lung
UO-31	Kidney cancer	Renal Cell Carcinoma	CVCL_1911	Female		kidney
UOK101	Kidney cancer	Renal Cell Carcinoma	CVCL_B076	Female		kidney
VCaP	Prostate cancer	Adenocarcinoma	CVCL_2235	Male, 59	metastasis	bone
VM-CUB-1	Bladder cancer	Transitional Cell Carcinoma	CVCL_1786	Male	primary	urinary tract
VMRC-LCD	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1787		Primary	lung
VMRC-RCW	Kidney cancer	Renal Cell Carcinoma	CVCL_1790	Male	primary	kidney
VMRC-RCZ	Kidney cancer	Renal Cell Carcinoma	CVCL_1791	Female	primary	kidney
WM115	Skin cancer		CVCL_0040	Female, 58	metastasis	skin
WM1799	Skin cancer	Melanoma	CVCL_A341	Male		skin
WM266-4	Skin cancer	Melanoma	CVCL_2765	Female, 55	metastasis	skin
WM793	Skin cancer	Melanoma	CVCL_8787	Male, 37		skin
WM88	Skin cancer	Melanoma	CVCL_6805	Male	metastasis	skin
WM983B	Skin cancer	Melanoma	CVCL_6809	Male, 54	metastasis	lymph node
WSU-DLCL2	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	CVCL_1902	Male, 41	metastasis	pleural effusion
WSU-FSCCL	Lymphoma		CVCL_1903		Primary	haematopoietic_and_lymphoid_tissue
WSU-NHL	Lymphoma	B-cell	CVCL_1793	48	Primary	pleural_effusion
YAPC	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_1794	Male, 43	metastasis	ascites
YD-10B	Head and Neck cancer	Squamous Cell Carcinoma, tongue	CVCL_8929	Male, 67		upper aerodigestive tract
YD-15	Head and Neck cancer	Squamous Cell Carcinoma, tongue	CVCL_8930	Male, 39		salivary gland
YD-38	Head and Neck cancer	Squamous Cell Carcinoma	CVCL_L083	Male, 67		upper aerodigestive tract
YD-8	Head and Neck cancer	Squamous Cell Carcinoma, tongue	CVCL_L079	Female, 46		upper aerodigestive tract
YH-13	Brain cancer	Glioblastoma	CVCL_1795	Male, 40	primary	central nervous system
YKG-1	Brain cancer	Glioblastoma	CVCL_1796	Female, 53	primary	central nervous system
YMB-1	Breast cancer	Breast Ductal Carcinoma	CVCL_2814	63	Metastasis	ascites
ZR-75-1	Breast cancer	Breast Ductal Carcinoma	CVCL_0588	Female, 63	metastasis	ascites
ZR-75-30	Breast cancer	Breast Ductal Carcinoma	CVCL_1661	Female, 47	metastasis	ascites
